M34.1 I73.0 {}
Y83.4 Q25.0 {}
K56.6 C41.4 {}
K56.6 K66.0 {}
K56.6 I89.8 {}
Z94.2 J12.1 {}
O82.2 P95.X {}
Z95.2I I10.X {}
S72.0 I10.X {}
T88.7 Q25.0 {}
I73.0 I49.8 {}
C49.3 C49.4 {}
S27.2 S21.1 {}
E79.8 E66.9 {}
H35.3 I49.8 {}
C92.9 I49.8 {}
N04.8 I10.X {}
N87.9 Z53.9 {}
N00.5 H33.0 {}
N04.4 L93.0 {}
E10.X I50.9 {}
S39.0 D58.2 {}
N92.5 N92.6 {}
N92.5 N92.0 {}
G45.0 M47.2 {}
H53.8 Z00.5 {}
B37.0 I49.8 {}
F43.0 I50.9 {}
C38.2 I10.X {}
I11.9 I49.8 {}
I11.9 E66.9 {}
I11.9 I50.9 {}
I11.9 I10.X {}
I11.9 N04.X {}
I11.9 J15.8 {}
I11.9 R32.X {}
M17.9 I10.X {}
N03.4 L93.0 {}
I63.2 I10.X {}
K70.0 Q61.2 {}
H47.1 I10.X {}
K76.9 E66.9 {}
M86.0 I10.X {}
E27.3 E66.9 {}
N92.6 N92.0 {}
I79.2 D50.0 {}
D72.8 M93.9 {}
D72.8 D50.0 {}
Z96.6 I10.X {}
H54.4 D69.1 {}
F12.2 Z00.5 {}
K63.3 D72.9 {}
N06.7 D30.0 {}
N76.0 Z00.5 {}
M93.8 T65.9 {}
B95.7 G72.3 {}
B95.7 E66.9 {}
J37.0 I50.9 {}
A18.2 A18.0 {}
N08.8 K29.0 {}
K66.8 K26.9 {}
B37.3 Z00.5 {}
E28.3 I10.X {}
Q10.5 I87.8 {}
Z96.1 N85.0 {}
H40.9 I50.9 {}
J06.0 Z00.5 {}
I50.9 Q25.0 {}
I50.9 I49.8 {}
I50.9 E66.9 {}
I50.9 I10.X {}
I50.9 O13.X {}
I50.9 I46.5 {}
I50.9 I31.2 {}
I50.9 S07.1 {}
I50.9 N00.9 {}
N05.X I10.X {}
Q61.2 D63.0 {}
N20.1 I10.X {}
N15.9 I10.X {}
I66.0 I65.3 {}
E66.9 I49.8 {}
E66.9 I10.X {}
E66.9 Z00.5 {}
E66.9 N02.1 {}
E66.9 D54.9 {}
E66.9 N93.8 {}
O13.X O11.X {}
M08.3 N00.3 {}
N04.X I49.8 {}
N04.X I10.X {}
N08.1 I10.X {}
D50.0 M93.9 {}
N14.4 I10.X {}
I49.8 Q25.0 {}
I49.8 B25.9 {}
I49.8 F50.0 {}
I49.8 I10.X {}
I49.8 D35.0 {}
I49.8 E26.0 {}
I49.8 I31.2 {}
I49.8 N00.9 {}
I31.2 I10.X {}
K63.1 F05.9 {}
K63.1 Z93.1 {}
I10.X Q25.0 {}
I10.X N02.1 {}
I10.X D35.0 {}
I10.X B25.9 {}
I10.X N00.3 {}
I10.X Z00.5 {}
I10.X N93.8 {}
I10.X E26.0 {}
I10.X N00.9 {}
I10.X D30.0 {}
I10.X B01.8 {}
I10.X I50.X {}
I10.X C67.9 {}
I10.X N20.2 {}
I10.X E12.6 {}
I10.X H91.1 {}
I89.8 K66.0 {}
Y41.5 B01.9 {}
Z00.5 N63.X {}
M93.9 B02.8 {}
E26.0 D35.0 {}
D35.0 C75.9 {}
N93.8 D62.X {}
