I24.8,I25.8,{}
I24.8,I25.1,{}
I24.8,I21.0,{}
I24.8,E78.0,{}
I24.8,I35.0,{}
I24.8,I21.1,{}
I24.8,I70.9,{}
I24.8,I72.4,{}
I24.8,I48.X,{}
I24.8,I45.6,{}
I24.8,I20.0,{}
I24.8,I21.9,{}
I24.8,I51.3,{}
I24.8,I11.0,{}
I24.8,I25.5,{}
I24.8,I25.4,{}
I24.8,I44.3,{}
I24.8,I25.2,{}
I24.8,I71.0,{}
I24.8,I35.1,{}
I24.8,E11.9,{}
I24.8,Z95.1,{}
I24.8,I34.0,{}
I24.8,I45.1,{}
I24.8,I64.X,{}
I24.8,I42.2,{}
I24.8,I21.2,{}
I24.8,E78.5,{}
I24.8,I70.0,{}
I24.8,I44.0,{}
I24.8,I20.1,{}
I24.8,I47.2,{}
I24.8,I20.9,{}
I24.8,I73.9,{}
I24.8,I45.8,{}
I24.8,T81.4,{}
I24.8,I05.2,{}
I24.8,I05.0,{}
I24.8,I07.1,{}
I24.8,I35.2,{}
I24.8,I06.2,{}
I24.8,I42.0,{}
I24.8,I44.2,{}
I24.8,Z45.0,{}
I24.8,I20.8,{}
I24.8,T65.8,{}
I24.8,I49.9,{}
I24.8,I25.0,{}
I24.8,J98.5,{}
I24.8,E03.9,{}
I24.8,Z95.2,{}
I24.8,N40.X,{}
I24.8,E78.1,{}
I24.8,J18.9,{}
I24.8,Z45.9,{}
I24.8,I82.9,{}
I24.8,J98.4,{}
I24.8,I21.4,{}
I24.8,I31.3,{}
I24.8,D69.6,{}
I24.8,I26.0,{}
I24.8,J44.8,{}
I24.8,I44.4,{}
I24.8,I44.7,{}
I24.8,I87.2,{}
I24.8,E78.2,{}
I24.8,I82.8,{}
I24.8,I74.2,{}
I24.8,A41.9,{}
I24.8,I70.8,{}
I24.8,I44.6,{}
I24.8,E66.8,{}
I24.8,I22.1,{}
I24.8,I49.0,{}
I24.8,I07.2,{}
I24.8,I50.1,{}
I24.8,Z01.2,{}
I24.8,I45.2,{}
I24.8,R57.1,{}
I24.8,T82.0,{}
I24.8,I31.9,{}
I24.8,J90.X,{}
I24.8,I74.3,{}
I24.8,I49.5,{}
I24.8,I25.3,{}
I24.8,I71.4,{}
I24.8,I44.5,{}
I24.8,J84.9,{}
I24.8,I72.3,{}
I24.8,I42.1,{}
