# Clustered 160 partitions into 31 clusters.
ClusterId1 ClusterId2 Distance
1 2 0.00507303245756852
1 3 0.00304662483138812
1 4 0.00406029491056559
1 5 0.00970880773277311
1 6 0.00811268264172993
1 7 0.00710039653296846
1 8 0.00710133230398535
1 9 0.00608858507350873
1 10 0.00608905328214254
1 11 0.0117324442861081
1 12 0.0101372741280292
1 13 0.0121581610052922
1 14 0.00811306731237466
1 15 0.00406029491056559
1 16 0.0131674909882736
1 17 0.0147637479303282
1 18 0.00710133230398535
1 19 0.0141790836282361
1 20 0.00811315020455872
1 21 0.00608905328214254
1 22 0.0121581610052922
1 23 0.0151883921671798
1 24 0.0111477130892252
1 25 0.00912684414021897
1 26 0.0111486462841345
1 27 0.0141790836282361
1 28 0.0161963218711492
1 29 0.0141790836282361
1 30 0.0187981586980047
1 31 0.0172063521566896
2 3 0.00811266324412768
2 4 0.00912401162645637
2 5 0.00464516215397642
2 6 0.00304663939216832
2 7 0.00203202676305098
2 8 0.012158112697581
2 9 0.0111476727930467
2 10 0.0111481410016806
2 11 0.00667344841616913
2 12 0.00507587430545831
2 13 0.00710139183549763
2 14 0.0131674909882736
2 15 0.00912401162645637
2 16 0.00811314500604365
2 17 0.00971170260670062
2 18 0.012158112697581
2 19 0.00912693238964429
2 20 0.0131676280361516
2 21 0.0111481410016806
2 22 0.00710139183549763
2 23 0.0202267870224544
2 24 0.00608863018652228
2 25 0.0141790241606425
2 26 0.0161962448825227
2 27 0.00912693238964429
2 28 0.0111487758945386
2 29 0.00912693238964429
2 30 0.0137553362148895
2 31 0.0121611040763931
3 4 0.00710131870991898
3 5 0.0127428549079426
3 6 0.00507305669199304
3 7 0.0101372499322913
3 8 0.00406031044203481
3 9 0.00912682572937284
3 10 0.0030466335799233
3 11 0.0147637294611986
3 12 0.00710043423448664
3 13 0.00912409950341553
3 14 0.0111485075916634
3 15 0.00710131870991898
3 16 0.0161960333735718
3 17 0.0117325168666587
3 18 0.00406031044203481
3 19 0.0111477928850811
3 20 0.0111486192135766
3 21 0.0030466335799233
3 22 0.00912409950341553
3 23 0.0121585552000888
3 24 0.0141790460459748
3 25 0.006088612178626
