N30.0,N39.0,{}
N30.0,S37.0,{}
N30.0,N03.1,{}
N30.0,E14.9,{}
N28.8,N17.9,{}
N28.8,I70.1,{}
N28.8,N10.X,{}
N28.8,N19.X,{}
N28.8,M32.1,{}
N28.8,Z94.0,{}
N28.8,N28.1,{}
N28.8,I15.0,{}
N28.8,N26.X,{}
N28.8,Z93.6,{}
N25.8,N17.9,{}
N25.8,N39.0,{}
N25.8,N03.1,{}
N25.8,Z49.1,{}
N25.8,E21.1,{}
N25.8,T86.1,{}
N25.8,Z96.8,{}
N25.8,I15.9,{}
N25.8,E87.6,{}
N25.8,E83.5,{}
N25.8,N26.X,{}
N25.8,N13.7,{}
N25.8,M35.0,{}
N25.8,N02.9,{}
N25.8,N06.9,{}
N25.8,M32.9,{}
E83.5,N17.9,{}
E83.5,Z49.2,{}
E83.5,Z49.1,{}
E83.5,E87.6,{}
E83.5,S37.0,{}
E83.5,Z94.0,{}
E83.5,T86.1,{}
E83.5,Z96.8,{}
E83.5,D64.9,{}
E83.5,D59.4,{}
E83.5,I15.1,{}
E83.5,D50.9,{}
E83.5,N28.1,{}
E83.5,K52.9,{}
E83.5,M10.9,{}
E83.5,I13.2,{}
E83.5,N12.X,{}
E83.5,C90.0,{}
E83.5,Y44.0,{}
E83.5,N20.0,{}
E83.5,E11.2,{}
M31.7,Z49.1,{}
M31.7,I70.1,{}
M31.7,S37.0,{}
M31.7,N05.8,{}
M31.7,T85.7,{}
M31.7,E61.1,{}
M31.7,Z96.8,{}
M31.7,I15.1,{}
M31.7,D50.9,{}
M31.7,K52.9,{}
M31.7,N05.7,{}
M31.7,N01.9,{}
M31.7,M31.3,{}
M31.7,D70.X,{}
M31.7,I77.8,{}
M31.7,J32.4,{}
E87.7,Z49.2,{}
E87.7,Z49.1,{}
E87.7,I12.0,{}
E87.7,K65.0,{}
E87.7,M32.1,{}
E87.7,N05.8,{}
E87.7,S36.8,{}
E87.7,N03.2,{}
E87.7,N02.8,{}
E87.7,D46.4,{}
E87.7,J81.X,{}
E87.7,E13.9,{}
