M06.1,E06.3,{}
M06.1,R59.0,{}
M06.1,S14.3,{}
M06.1,M19.9,{}
Z49.0,M35.9,{}
R18.X,I36.1,{}
R18.X,K72.9,{}
I60.9,D15.1,{}
I60.9,I36.1,{}
I60.9,I85.0,{}
I60.9,I67.4,{}
I60.9,G93.6,{}
I60.9,G93.4,{}
Q76.3,Z03.8,{}
Z03.4,T81.5,{}
Z03.4,Z33.X,{}
Z03.4,K74.3,{}
C45.0,C38.3,{}
J32.9,T86.2,{}
K90.4,J86.0,{}
C71.2,C71.1,{}
L40.9,M19.9,{}
G93.6,T81.2,{}
H81.0,D44.1,{}
M35.9,E07.9,{}
M35.9,E03.8,{}
I85.0,I36.1,{}
I85.0,I86.4,{}
M19.9,Z03.8,{}
M19.9,I36.1,{}
M19.9,I13.9,{}
M19.9,M79.7,{}
K21.9,Z03.5,{}
K21.9,I36.1,{}
C53.9,C34.8,{}
I27.1,Z45.8,{}
K44.9,J98.6,{}
K44.9,R07.2,{}
K44.9,K29.1,{}
Y84.0,S26.8,{}
J02.9,Z03.5,{}
D25.9,I49.3,{}
E80.4,K74.1,{}
H90.5,G81.9,{}
F33.2,C71.0,{}
C41.9,C61.X,{}
D15.1,Q85.1,{}
D15.1,I67.2,{}
I65.8,I65.0,{}
I65.8,I74.1,{}
I36.1,J12.9,{}
I36.1,I33.0,{}
I36.1,I40.0,{}
I36.1,I42.3,{}
I36.1,J98.6,{}
I36.1,R00.0,{}
I36.1,I13.9,{}
I36.1,B96.1,{}
I36.1,O99.4,{}
I36.1,K76.1,{}
I36.1,M35.1,{}
I36.1,C81.7,{}
I36.1,I83.0,{}
I36.1,O82.1,{}
I36.1,O90.3,{}
I36.1,I72.8,{}
I36.1,G06.0,{}
I36.1,K72.1,{}
I36.1,D21.9,{}
I36.1,I40.8,{}
I36.1,I78.0,{}
I36.1,J70.1,{}
I36.1,J47.X,{}
I36.1,Z45.1,{}
I36.1,I74.4,{}
I36.1,D48.7,{}
I36.1,L08.8,{}
I36.1,I23.4,{}
I36.1,J64.X,{}
I36.1,I42.7,{}
I36.1,Z94.1,{}
I36.1,I61.1,{}
I36.1,I28.1,{}
I36.1,R59.0,{}
I36.1,J96.1,{}
I36.1,I85.9,{}
I36.1,K76.6,{}
I36.1,K74.6,{}
I36.1,I35.3,{}
I36.1,I25.6,{}
I36.1,C83.3,{}
I36.1,J96.9,{}
I36.1,I86.4,{}
I36.1,A16.7,{}
I36.1,D69.3,{}
I36.1,H25.9,{}
Z35.8,O90.3,{}
E11.5,M00.9,{}
J40.X,J12.9,{}
J40.X,B34.8,{}
G52.2,Z03.5,{}
F32.9,K63.2,{}
F32.9,B18.2,{}
Z03.8,G41.0,{}
Z03.8,R50.9,{}
Z03.8,J45.9,{}
Z03.8,M71.2,{}
Z03.8,K85.0,{}
Z03.8,M79.7,{}
R50.9,I33.0,{}
R50.9,J45.9,{}
I37.0,C34.8,{}
J12.9,Z03.5,{}
K70.3,K76.7,{}
I84.9,E04.1,{}
J47.X,K21.0,{}
J45.9,Z03.5,{}
