Name,ClusteringCoefficient,Eccentricity,NumberOfEdges,BetweennessCentrality,ClosenessCentrality,Degree,Highest Freq Group Number
I44.1,0.577324973876698,3,88,0.00012778547128402374,0.5135983263598326,88,3
I40.1,0.7402482269503546,3,48,3.4961092081518855e-05,0.5027303754266211,48,3
I25.3,0.7746288798920378,3,39,1.4841153118865197e-05,0.5025588536335721,39,3
I25.1,0.28985960833407853,3,212,0.0032625182776232432,0.5381804895871392,212,3
I34.1,0.5866666666666667,3,51,7.597797205073876e-05,0.5058379120879121,51,3
M31.4,0.42388834793898084,3,79,0.0009442290831856169,0.5125260960334029,79,2
E59.X,1.0,3,4,0.0,0.485497692814766,4,2
I36.1,0.22820717131474103,3,251,0.004954435534920735,0.5459599703484063,251,2
C62.9,1.0,3,4,0.0,0.4831092161364382,4,3
Q21.00,1.0,3,4,0.0,0.4818449460255152,4,3
M08.0,0.8888888888888888,3,9,1.3072280367414505e-06,0.48855721393034823,9,2
I40.9,0.6282352941176471,3,51,8.028951655595436e-05,0.5049708604730888,51,3
Z95.1,0.7331118493909191,3,43,2.1428984310496326e-05,0.5025588536335721,43,3
Q21.5,1.0,4,4,0.0,0.38449490994518404,4,3
J86.9,0.6666666666666666,3,10,2.33028372854426e-06,0.4859782250082481,10,2
K02.9,0.8,3,5,2.653987965605019e-07,0.4858179419525066,5,2
P36.9,1.0,4,4,0.0,0.37566947207345064,4,3
R04.0,0.8823529411764706,3,17,1.278200522489341e-06,0.4931369266822899,17,2
Q33.3,1.0,3,4,0.0,0.48200261780104714,4,2
R09.2,0.7492063492063492,3,36,3.951853051809378e-05,0.4887193098871931,36,3
J22.X,0.6221327967806841,3,71,0.00015526936204698954,0.5114583333333333,71,3
J18.1,0.5692307692307692,3,40,0.00020125676158667317,0.505664263645726,40,2
J06.8,0.6190476190476191,3,7,0.0003647620642378772,0.48422090729783035,7,2
M21.5,1.0,3,4,0.0,0.485497692814766,4,2
J96.0,0.5429573348918761,3,59,0.00025606561162657933,0.5091600414794332,59,2
Q93.8,0.9285714285714286,3,8,6.723378196619548e-08,0.4874255459960291,8,2
I31.1,0.6828609986504723,3,39,2.8489123541579373e-05,0.5042793563847997,39,2
Z01.3,0.7636363636363637,3,11,5.98170042858905e-07,0.4176353841791891,11,3
Y60.5,0.7359307359307359,3,22,6.497217028840656e-06,0.49881476464612257,22,2
Q57.1,1.0,3,4,0.0,0.4818449460255152,4,3
I45.5,0.8566666666666667,3,25,1.7877444867088004e-06,0.4983085250338295,25,2
R55.X,0.5969802555168409,3,42,5.010975926344196e-05,0.5011908812521265,42,3
Q43.9,1.0,3,4,0.0,0.38999205718824465,4,3
K72.0,0.6150537634408603,3,31,2.1490599765282837e-05,0.500169779286927,31,2
D69.6,0.48438300051203276,3,63,9.042877876692406e-05,0.5088082901554404,63,2
Q52.2,1.0,3,4,0.0,0.4818449460255152,4,2
I09.9,0.8055555555555556,3,9,3.220523196602976e-07,0.4879099039417025,9,2
J11.1,0.9285714285714286,3,8,1.105418509150062e-07,0.48774834437086095,8,2
T82.0,0.49931129476584024,3,121,0.0006108626174161163,0.5203108442246556,121,3
J98.5,0.6518218623481782,3,39,5.406070675085899e-05,0.5020449897750511,39,3
T81.0,0.5767565767565768,3,78,0.00012556017425802734,0.5118137595552467,78,3
I49.2,0.9242424242424242,3,12,9.075650785646884e-08,0.49612664196699224,12,2
Z03.4,0.5606060606060606,3,12,2.559679691753566e-05,0.4888815134417524,12,2
Q60.0,0.6043956043956044,3,14,1.5164119673627962e-05,0.48726430697982137,14,2
I35.2,0.3503184713375796,3,157,0.0020004237695734053,0.5272011453113815,157,3
G06.0,0.7692307692307693,3,13,1.08188422581357e-06,0.49067288474350435,13,2
I70.1,0.4494172494172494,3,66,0.00012971176265951884,0.5091600414794332,66,2
I27.9,0.3296551724137931,3,175,0.0024699833389473127,0.5311936530833032,175,3
I65.8,0.6748768472906403,3,29,1.7349757105373792e-05,0.5008500510030602,29,2
Q89.2,1.0,3,4,0.0,0.4818449460255152,4,3
I42.5,0.5452488687782805,3,52,0.00012878863990769843,0.5061855670103093,52,3
I45.2,0.6378151260504201,3,85,0.00039243751695243484,0.5132404181184669,85,3
I11.0,0.2588203188959495,3,227,0.003820698217539119,0.5411462160176341,227,3
R00.2,0.6900584795321637,3,19,9.794526550804543e-06,0.49132755170113407,19,2
H50.8,1.0,3,4,0.0,0.4818449460255152,4,3
Q26.0,0.8214285714285714,3,8,1.9701665286872938e-07,0.48279252704031467,8,3
Y51.2,1.0,3,4,0.0,0.48295081967213116,4,2
Z29.2,0.2434065934065934,3,105,0.0011939636022264568,0.5152151101783841,105,3
N04.X,0.6703296703296703,3,14,4.8050890822201235e-06,0.4901830282861897,14,2
E22.2,0.8611111111111112,3,9,2.610398445029251e-07,0.48985700033255736,9,2
J18.0,0.6888888888888889,3,10,8.76097780416796e-07,0.48774834437086095,10,2
R07.2,0.7142857142857143,3,14,5.533145437099078e-06,0.48904382470119523,14,2
I95.5,1.0,3,4,0.0,0.48501810997695094,4,2
B25.9,0.6153846153846154,3,14,3.6502574557886177e-06,0.48953140578265203,14,3
Q21.8,0.6212121212121212,3,33,3.424783018758506e-05,0.5003396739130435,33,3
I67.2,0.7435897435897436,3,13,1.6027623026914211e-06,0.49001996007984033,13,2
Q67.6,0.7777777777777778,3,10,4.559460169868502e-06,0.48807157057654077,10,2
R00.1,0.658200290275762,3,53,6.312205196919105e-05,0.505664263645726,53,3
I37.1,0.700603318250377,3,52,2.28111372675325e-05,0.5054907343857241,52,3
I05.1,0.51103500761035,3,73,0.00035944910300927534,0.5086325966850829,73,3
I09.1,0.20073769328982835,3,266,0.008237963770733821,0.5490122996645546,266,3
I01.1,1.0,3,4,0.0,0.479648323021817,4,3
I01.0,1.0,3,4,0.0,0.479648323021817,4,3
Q76.3,1.0,3,3,0.0,0.48216039279869066,3,2
N05.0,0.5217391304347826,3,24,2.2122534972887285e-05,0.4937981897418706,24,3
Q79.2,1.0,4,4,0.0,0.37566947207345064,4,3
E03.9,0.3861099184199227,3,137,0.0009783482153213983,0.5240128068303095,137,3
